Epic,Name,Objective
E1,Foundation & Configuration Framework,"Config-driven skeleton: regulator-as-config YAML model, corpus database schema, storage layout, CI gates. Adding regulator #31 must never require code."
E2,Versioning & Governed Storage,"The trust core: one current copy per document, append-only archive, crash-safe atomic override protocol, full provenance (source URL, hash, run attribution, raw original)."
E3,Collection Engine,"Three stateless connector engines (sitemap-diff / RSS / API), fetch & HTML/PDF→markdown normalization, PDF harvesting, dedup, pagination, crawl hardening."
E4,Source Verification & Regulator Onboarding,No source is trusted until the verification harness passes it. Onboard all 30 regulators with recorded test fixtures and provable completeness (expected-inventory reconciliation).
E5,"Orchestration, Operations & Data Quality","Fleet fan-out with failure isolation, humane run statuses, live progress, daily delta pollers, manual interjection lane, backups, bot-block fallbacks."
E6,Deterministic Enrichment & Knowledge Graph,"No-LLM enrichment: reference-number grammars per regulator, citation mining into a supersedes/references graph, expected-inventory completeness checks."
E7,Analyst & Operator Dashboard,"Five-page UI: Coverage tree with coverage-%, Corpus browser, file Explorer, Changes/impact feed with diffs, Collection-runs monitor with live counters."
E8,MCP Tool Surface & Security,"Twelve stateless reg_* MCP tools (content + index planes), API-key lifecycle, authentication required for execution, per-key tool allowlists enforced."
E9,Agentic Integration,"Plug the corpus into the existing agent stack: markdown projection in the agent's consumption layout, scoped MCP connectivity, chatbot guide, agent skills, citation eval."
E10,Future Enhancements (Backlog),"Post-MVP: govinfo full-text connector, simple-mode overview UX, Playwright fetch, Postgres, more inventories, digests, production hardening, LLM enrichment."
