Story ID,Epic,Epic Name,Sprint,Title,Description,Acceptance Criteria,Story Points,Assigned Role,Status,Evidence / Notes
REG-101,E1,Foundation & Configuration Framework,Sprint 1,Project scaffolding & CI test harness,Stand up the regagg module inside the MCP server repo with an isolated pytest harness (in-memory DB + temp storage) runnable on every commit.,Module imports cleanly inside host server; pytest suite runs offline in <10s; CI-safe fixtures for DB and storage exist,3,Backend Engineer,Done,tests/regagg/conftest.py; suite runs 92 tests in ~3s
REG-102,E1,Foundation & Configuration Framework,Sprint 1,Regulator configuration schema & loader,"Strict pydantic model for per-regulator YAML (connector type, sources, fetch method, rate limits, doc-type rules, backfill cutoff) with a fail-fast loader.",Invalid/unknown fields rejected at load; connector↔sources cross-validated; filename must match declared id; loader collects all errors for reporting,5,Backend Engineer,Done,"config_models.py, config_loader.py; foundation gate 30/30"
REG-103,E1,Foundation & Configuration Framework,Sprint 1,Author 30 regulator configs + controlled taxonomy,One YAML per regulator across CA/US/EU-UK/APAC/INTL plus the controlled tag taxonomy and global settings files.,30 configs parse and validate; taxonomy doc-types match code constants; every source starts verified:false,3,Backend Engineer,Done,config/regulators/*.yaml (30) + _taxonomy + _settings
REG-104,E1,Foundation & Configuration Framework,Sprint 1,Corpus database schema (9 tables),"SQLAlchemy models on the shared base for documents, versions, tags, edges, pending-edges, seen-URLs, runs, watermarks, regulators; matching hand-authored Postgres DDL.",Tables auto-create on both SQLite and Postgres; one-current-per-doc expressible; FKs and CHECK constraints enforced; DDL file shipped,5,Backend Engineer,Done,regagg/models.py; db/scripts/postgresql/003_regagg_schema.sql
REG-105,E1,Foundation & Configuration Framework,Sprint 1,Corpus storage layout over storage abstraction,Normalized folder layout (current/archive/staging/_state per regulator) implemented over the host's local/S3 storage backend with artifact read/write helpers.,Layout identical for all regulators; copy/delete tree operations work on local and S3 semantics; meta.json round-trips,3,Full-stack Engineer,Done,corpus_storage.py
REG-106,E1,Foundation & Configuration Framework,Sprint 1,Foundation verification gate,"A no-network CI gate proving configs parse, taxonomy is in sync, and all corpus tables register/create.",Single command exits non-zero on any foundation defect; run in CI on every commit,2,Backend Engineer,Done,scripts/regagg_verify_foundation.py — GREEN
REG-107,E4,Source Verification & Regulator Onboarding,Sprint 1,Source verification harness,"Automated verifier for every candidate source: reachability, content-type, parseability (incl. sitemap indexes), freshness; produces a per-regulator report.",Pass/warn/fail per source with reasons; sitemap-index recognized; report renders to markdown; harness is the only authority for verified:true,5,AI Engineer,Done,verify_sources.py; 29/30 regulators verified live
REG-108,E4,Source Verification & Regulator Onboarding,Sprint 1,Fixture recorder & per-regulator parse tests,Record each regulator's real source payloads once and run every connector against its recording in CI.,Fixtures recorded for all reachable regulators; parametrized test per regulator passes offline; recordings size-capped,3,AI Engineer,Done,regagg_record_fixtures.py; tests/fixtures/ 29/30 (9.6MB)
REG-109,E1,Foundation & Configuration Framework,Sprint 1,BA: source map validation & regulator list sign-off,Validate the proposed 30-regulator list and candidate sources against business priorities; obtain sign-off.,"Signed-off regulator list; discrepancies (dead feeds, blocked sites) logged as onboarding risks",2,Business Analyst,Done,Source map verified; AMF block + 5 dead feeds logged and later remediated
PM-S1,E1,Foundation & Configuration Framework,Sprint 1,"PM: sprint ceremonies, RAID log, stakeholder reporting","Recurring per-sprint PM allocation (~25%): planning, standups, review/retro, risk and dependency management.",Ceremonies held; RAID log current; sprint report issued,0,Project Manager,Done,Recurring
REG-201,E2,Versioning & Governed Storage,Sprint 2,Atomic versioning protocol (override→archive),"Six-step crash-safe protocol: stage new version, record intent, copy current to timestamped archive, promote staging, finalize document row.",New doc creates v1; changed content archives prior version and increments version; unchanged content is a no-op; document identity stable across revisions,8,Backend Engineer,Done,versioning.py; test_versioning.py
REG-202,E2,Versioning & Governed Storage,Sprint 2,Crash-recovery reconciliation & invariant audit,"Deterministic repair job that rolls half-applied updates forward, cleans orphan staging, and audits invariants (exactly one current per doc; archive append-only).","After any induced crash, reconcile restores a clean state with zero committed-data loss; violations are reported, never silently fixed twice",5,Backend Engineer,Done,"versioning.reconcile(); /integrity endpoint OK on 5,969 docs"
REG-203,E2,Versioning & Governed Storage,Sprint 2,Chaos test suite for the versioning path,Automated tests that kill the pipeline after every protocol step and assert full recovery.,Crash injected at each of steps 1–5; invariants hold post-reconcile in all cases; reconcile idempotent,3,Backend Engineer,Done,test_versioning.py chaos parametrization (10 tests)
REG-204,E3,Collection Engine,Sprint 2,Sitemap-diff connector,"Detect new/changed URLs from sitemap.xml (incl. index recursion) plus listing pages, with lastmod fast-path skipping and include/exclude filters.",Sitemap+listing union deduplicated; known URLs with unchanged lastmod skipped; doc-type mapped from URL rules,5,AI Engineer,Done,connectors.SitemapDiffConnector; fixture + live tests
REG-205,E3,Collection Engine,Sprint 2,RSS/Atom connector,"Poll 1..n feeds per regulator with GUID→URL dedup, malformed-feed isolation, and backfill-cutoff filtering.",Duplicate GUIDs collapse; items older than cutoff ignored; one bad feed never aborts others,3,AI Engineer,Done,connectors.RssConnector; cutoff regression test
REG-206,E3,Collection Engine,Sprint 2,API connector & Federal Register adapter,"Provider-adapter API connector; Federal Register: agency filters, explicit field selection, pagination to cutoff, sanctioned full-text URL, abstract capture.",Paginates until backfill cutoff; emits reference numbers for dedup; requests raw_text_url+abstract explicitly (not in default fields),5,AI Engineer,Done,connectors.ApiConnector; build_api_url; 500 docs/run
REG-207,E3,Collection Engine,Sprint 2,Fetch & normalization layer,"Polite fetcher (UA, per-domain rate limit) converting HTML→markdown (boilerplate stripped) and PDF→markdown, detecting PDFs by magic bytes, flagging scanned files.",HTML preserves headings/tables/links; .pdf URLs serving HTML are treated as HTML (magic-byte truth); scanned PDFs flagged ocr:true; content sha256 computed,5,Full-stack Engineer,Done,fetch.py; test_fetch.py incl. block-page regression
REG-208,E2,Versioning & Governed Storage,Sprint 2,BA: provenance & audit acceptance walkthrough,"Define and verify the governance chain a compliance reviewer needs: source URL, final URL, hash, timestamps, run attribution, raw original, version lineage.",Walkthrough from rendered doc back to original bytes and run manifest demonstrated; gaps (post-redirect URL) closed,2,Business Analyst,Done,Provenance tab; meta.json fields; 0 docs missing source_url
